id,食材カテゴリーid,食材名
1,6,BBQソース
2,3,えのき
3,6,あん
4,6,あんこ
5,2,あん肝
6,2,あんこう
7,1,いか
8,1,いかげそ
9,1,いかリング
10,6,いかの塩辛
11,4,いくら
12,3,いんげん
13,2,いわし
14,5,うずらの卵
15,5,うどん
16,2,うなぎ
17,2,うに
18,7,梅干し
19,6,うるち米
20,2,えび
21,2,えび天
22,3,えのきだけ
23,3,エリンギ
24,3,オクラ
25,6,オイスターソース
26,6,オリーブ
27,6,オリーブオイル
28,3,オレンジ
29,2,かき
30,3,かぶ
31,3,かぼちゃ
32,3,かまぼこ
33,1,かも肉
34,6,からし
35,1,カルビ
36,6,カレールー
37,3,カリフラワー
38,3,かんぴょう
39,2,かに
40,6,カニカマ
41,6,カニ缶
42,6,ケチャップ
43,6,ケチャップマニス
44,3,キャベツ
45,3,きゅうり
46,3,きくらげ
47,5,きなこ
48,6,きのこ
49,6,キムチ
50,5,ぎょうざの皮
51,3,グリンピース
52,4,クリームチーズ
53,6,クルトン
54,3,ゴーヤ
55,3,ごぼう
56,6,ごま
57,6,ごま油
58,5,ごはん
59,5,こんにゃく
60,5,米
61,6,コーン
62,6,コーン缶
63,6,コチュジャン
64,4,ゴルゴンゾーラ
65,6,コンソメ
66,3,さつまいも
67,6,さつま揚げ
68,3,さやいんげん
69,2,さわら
70,6,ザーサイ
71,3,サニーレタス
72,6,サワークリーム
73,1,ささみ
74,6,サンチュ
75,6,サンバル
76,2,さんま
77,6,塩
78,6,塩麹
79,6,塩昆布
80,3,しいたけ
81,2,ししゃも
82,3,ししとう
83,2,しじみ
84,6,しそ
85,3,しめじ
86,3,じゃがいも
87,2,ちりめんじゃこ
88,6,しらたき
89,2,しらす
90,5,そうめん
91,6,ソース
92,6,すだち
93,6,酢
94,6,スパイス
95,3,ズッキーニ
96,3,セロリ
97,3,ぜんまい
98,1,ソーセージ
99,2,たこ
100,6,たけのこ
101,6,だし汁
102,2,たら
103,6,たらこ
104,6,タレ
105,6,タルタルソース
106,4,卵
107,4,卵黄
108,4,卵白
109,1,タン
110,3,大根
111,3,大根おろし
112,4,大豆
113,6,高菜
114,6,タバスコ
115,3,玉ねぎ
116,6,チャーシュー
117,4,チーズ
118,6,ちくわ
119,6,チリソース
120,6,チンゲン菜
121,6,つゆ
122,6,デミグラスソース
123,6,甜麺醤
124,6,豆板醤
125,6,豆苗
126,4,豆乳
127,2,とびこ
128,3,トマト
129,6,トマト缶
130,6,トマトソース
131,6,トムヤムペースト
132,6,ドレッシング
133,6,鶏ガラスープの素
134,1,鶏ひき肉
135,1,鶏むね肉
136,1,鶏もも肉
137,1,鶏レバー
138,1,鶏肉
139,1,鶏皮
140,5,トルティーヤ
141,4,豆腐
142,5,トック
143,6,なす
144,6,なつめ
145,3,なめこ
146,6,ナンプラー
147,3,ニラ
148,3,にんにく
149,3,人参
150,5,ニョッキ
151,6,ねぎ
152,1,ねぎま
153,1,ねぎとろ
154,6,練りごま
155,6,のり
156,6,パイナップル
157,5,パスタ
158,6,はちみつ
159,3,パクチー
160,5,バゲット
161,3,バジル
162,6,バジルペースト
163,5,パン粉
164,6,はんぺん
165,1,ハラミ
166,6,バルサミコ酢
167,5,春雨
168,3,春菊
169,5,春巻きの皮
170,3,ビーツ
171,5,ピザ生地
172,6,ピータン
173,1,ひき肉
174,6,ひじき
175,1,豚ひき肉
176,1,豚ヒレ肉
177,1,豚もつ
178,1,豚ロース肉
179,1,豚バラ肉
180,1,豚バラブロック
181,1,豚レバー
182,1,豚軟骨
183,1,豚肉
184,6,ふかひれ
185,3,ふき
186,2,ふぐ
187,6,麩
188,2,ぶり
189,6,ブイヨン
190,6,ブラックペッパー
191,3,ブロッコリー
192,5,ホットケーキミックス
193,2,ほたて
194,2,ホタルイカ
195,2,ほっけ
196,6,ポン酢
197,1,ベーコン
198,3,ベビーリーフ
199,3,ほうれん草
200,6,干ししいたけ
201,2,まぐろ
202,6,マカロニ
203,6,マスタード
204,3,松の実
205,6,マヨネーズ
206,3,水菜
207,6,味噌
208,3,三つ葉
209,3,ミニトマト
210,3,みょうが
211,6,ミント
212,2,めかじき
213,2,めかぶ
214,6,もずく
215,3,もやし
216,4,モッツァレラチーズ
217,6,もみじおろし
218,5,餅
219,6,焼き豆腐
220,6,薬味
221,3,山椒
222,3,山芋
223,3,ゆず
224,4,ヨーグルト
225,6,ラー油
226,7,ライム
227,5,ライスペーパー
228,1,ラムチョップ
229,1,ラム肉
230,7,りんご
231,3,ルッコラ
232,7,レーズン
233,7,レモン
234,6,レモングラス
235,3,レモン汁
236,3,れんこん
237,3,レタス
238,6,ローズマリー
239,1,ロースハム
240,1,ローストビーフ
241,6,わかめ
242,3,わけぎ
243,6,わさび
244,2,渡り蟹
245,6,割り下
246,1,牛すじ
247,1,牛ももブロック
248,1,牛もつ
249,1,牛ロース
250,1,牛バラ肉
251,1,牛肉
252,3,白ネギ
253,2,白身魚
254,6,白ワイン
255,4,生クリーム
256,1,生ハム
257,5,米麺
258,3,舞茸
259,5,万能ねぎ
260,6,泡盛
261,5,揚げ玉
262,5,揚げ麺
263,6,黒糖
264,1,合いびき肉
